Dates,Opponent,Score,Minutes,Successful Shots,Total Shots,3 Points Succesful,Total 3 Points,Successful FT,Total FT,REB,AST,BLK,STL,PF,TO,PTS,Type,Result,Score GS,Score Opponent
10/25/16,SA,L 100-129,34,9,18,3,10,5,6,3,4,0,0,1,4,26,REGULAR SEASON STATS,L,100,129
10/28/16,NO,W 122-114,34,8,19,4,10,3,4,1,8,0,1,3,4,23,REGULAR SEASON STATS,W,122,114
10/30/16,PHX,W 106-100,34,9,17,5,8,5,5,1,3,0,0,5,1,28,REGULAR SEASON STATS,W,106,100
11/1/16,POR,W 127-104,30,10,21,5,10,3,4,4,3,0,1,3,4,28,REGULAR SEASON STATS,W,127,104
11/3/16,OKC,W 122-96,30,6,14,2,6,7,8,1,7,1,2,1,1,21,REGULAR SEASON STATS,W,122,96
11/4/16,LAL,L 97-117,31,5,17,0,10,3,3,8,10,1,2,3,2,13,REGULAR SEASON STATS,L,97,117
11/7/16,NO,W 116-106,36,16,26,13,17,1,2,5,5,0,2,2,4,46,REGULAR SEASON STATS,W,116,106
11/9/16,DAL,W 116-95,31,8,12,4,8,4,4,3,6,0,1,1,5,24,REGULAR SEASON STATS,W,116,95
11/10/16,DEN,W 125-101,30,10,17,7,13,6,6,5,6,0,1,1,4,33,REGULAR SEASON STATS,W,125,101
11/13/16,PHX,W 133-120,37,9,17,5,9,7,7,6,6,0,2,2,3,30,REGULAR SEASON STATS,W,133,120
11/16/16,TOR,W 127-121,37,10,19,3,9,12,13,3,7,0,1,3,3,35,REGULAR SEASON STATS,W,127,121
11/18/16,BOS,W 104-88,36,7,20,2,10,0,0,3,8,1,4,4,2,16,REGULAR SEASON STATS,W,104,88
11/19/16,MIL,W 124-121,35,7,21,1,11,5,5,5,5,0,1,4,3,20,REGULAR SEASON STATS,W,124,121
11/21/16,IND,W 120-83,30,6,11,2,6,8,8,6,6,0,1,1,1,22,REGULAR SEASON STATS,W,120,83
11/23/16,LAL,W 149-106,29,11,18,7,12,2,2,5,9,0,1,1,1,31,REGULAR SEASON STATS,W,149,106
11/25/16,LAL,W 109-85,36,8,17,4,10,4,4,5,5,0,3,1,3,24,REGULAR SEASON STATS,W,109,85
11/26/16,MIN,W 115-102,37,13,19,4,8,4,4,8,6,0,1,4,6,34,REGULAR SEASON STATS,W,115,102
11/28/16,ATL,W 105-100,38,6,17,4,11,9,11,3,3,0,2,2,3,25,REGULAR SEASON STATS,W,105,100
12/1/16,HOU,L 127-132,38,9,22,4,13,6,6,3,5,1,3,6,5,28,REGULAR SEASON STATS,L,127,132
12/3/16,PHX,W 138-109,30,10,15,5,7,6,6,2,1,0,1,2,3,31,REGULAR SEASON STATS,W,138,109
12/5/16,IND,W 142-106,29,4,10,2,7,3,4,4,11,1,2,4,0,13,REGULAR SEASON STATS,W,142,106
12/7/16,LAC,W 115-98,33,7,16,0,8,5,5,4,6,0,7,3,3,19,REGULAR SEASON STATS,W,115,98
12/8/16,UTAH,W 106-99,36,7,16,3,9,9,9,5,2,0,2,2,3,26,REGULAR SEASON STATS,W,106,99
12/10/16,MEM,L 89-110,31,4,14,3,11,6,6,8,3,0,0,3,4,17,REGULAR SEASON STATS,L,89,110
12/11/16,MIN,W 116-108,32,6,13,2,5,8,8,4,9,0,1,3,0,22,REGULAR SEASON STATS,W,116,108
12/13/16,NO,W 113-109,34,11,23,5,9,3,4,4,7,0,1,2,2,30,REGULAR SEASON STATS,W,113,109
12/15/16,NY,W 103-90,34,3,14,2,8,0,0,10,8,0,1,0,3,8,REGULAR SEASON STATS,W,103,90
12/17/16,POR,W 135-90,27,6,11,5,8,2,2,3,6,0,0,3,3,19,REGULAR SEASON STATS,W,135,90
12/20/16,UTAH,W 104-74,30,8,18,4,9,5,5,3,4,0,3,0,0,25,REGULAR SEASON STATS,W,104,74
12/22/16,BKN,W 117-101,33,6,19,3,13,0,0,2,7,0,5,5,2,15,REGULAR SEASON STATS,W,117,101
12/23/16,DET,W 119-113,35,7,16,5,10,6,6,3,8,0,2,1,5,25,REGULAR SEASON STATS,W,119,113
12/25/16,CLE,L 108-109,37,4,11,2,7,5,6,3,3,0,3,4,3,15,REGULAR SEASON STATS,L,108,109
12/28/16,TOR,W 121-111,36,9,18,3,6,7,7,7,7,0,0,3,2,28,REGULAR SEASON STATS,W,121,111
12/30/16,DAL,W 108-99,30,5,12,3,6,1,1,4,5,0,1,2,1,14,REGULAR SEASON STATS,W,108,99
1/2/17,DEN,W 127-119,35,8,18,3,9,3,3,3,5,0,0,2,3,22,REGULAR SEASON STATS,W,127,119
1/4/17,POR,W 125-117,36,12,25,5,13,6,8,7,5,0,1,1,5,35,REGULAR SEASON STATS,W,125,117
1/6/17,MEM,L 119-128,42,15,27,5,13,5,5,3,6,1,1,2,4,40,REGULAR SEASON STATS,L,119,128
1/8/17,SAC,W 117-106,37,11,22,5,11,3,3,4,6,0,2,3,4,30,REGULAR SEASON STATS,W,117,106
1/10/17,MIA,W 107-95,36,8,21,4,11,4,5,8,9,1,1,0,3,24,REGULAR SEASON STATS,W,107,95
1/12/17,DET,W 127-107,30,9,17,3,9,3,3,2,7,0,5,0,8,24,REGULAR SEASON STATS,W,127,107
1/16/17,CLE,W 126-91,31,7,20,5,12,1,2,2,11,0,4,2,3,20,REGULAR SEASON STATS,W,126,91
1/18/17,OKC,W 121-100,34,9,19,2,6,4,4,4,8,0,3,0,3,24,REGULAR SEASON STATS,W,121,100
1/20/17,HOU,W 125-108,33,8,18,5,11,3,5,1,7,0,1,1,1,24,REGULAR SEASON STATS,W,125,108
1/22/17,ORL,W 118-98,30,8,15,7,13,4,4,4,6,0,0,2,3,27,REGULAR SEASON STATS,W,118,98
1/23/17,MIA,L 102-105,37,7,19,3,9,4,5,9,8,1,0,2,4,21,REGULAR SEASON STATS,L,102,105
1/25/17,CHA,W 113-103,36,11,23,6,12,0,0,2,7,1,1,2,4,28,REGULAR SEASON STATS,W,113,103
1/28/17,LAC,W 144-98,29,15,23,9,15,4,4,9,6,0,0,1,2,43,REGULAR SEASON STATS,W,144,98
1/29/17,POR,W 113-111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,113,111
2/1/17,CHA,W 126-111,30,14,20,11,15,0,0,5,8,0,3,2,1,39,REGULAR SEASON STATS,W,126,111
2/2/17,LAC,W 133-120,37,11,23,3,10,4,4,3,11,0,3,1,4,29,REGULAR SEASON STATS,W,133,120
2/4/17,SAC,L 106-109,42,11,20,8,14,5,6,4,9,0,3,2,3,35,REGULAR SEASON STATS,L,106,109
2/8/17,CHI,W 123-92,28,5,11,1,4,2,2,1,6,0,1,4,2,13,REGULAR SEASON STATS,W,123,92
2/10/17,MEM,W 122-107,35,6,13,2,6,4,5,4,5,0,0,3,3,18,REGULAR SEASON STATS,W,122,107
2/11/17,OKC,W 130-114,34,9,19,4,11,4,4,8,9,0,2,2,0,26,REGULAR SEASON STATS,W,130,114
2/13/17,DEN,L 110-132,27,4,18,1,11,2,2,2,5,0,1,1,1,11,REGULAR SEASON STATS,L,110,132
2/15/17,SAC,W 109-86,30,4,14,2,8,3,4,6,9,2,0,2,3,13,REGULAR SEASON STATS,W,109,86
2/19/17,EAST,W 192-182,28,8,16,5,11,0,0,4,6,0,1,3,0,21,REGULAR SEASON STATS,W,192,182
2/23/17,LAC,W 123-113,32,10,16,6,10,9,10,7,5,0,4,5,4,35,REGULAR SEASON STATS,W,123,113
2/25/17,BKN,W 112-95,35,9,21,5,10,4,4,5,5,0,3,2,4,27,REGULAR SEASON STATS,W,112,95
2/27/17,PHI,W 119-108,35,7,23,0,11,5,5,4,6,0,2,2,4,19,REGULAR SEASON STATS,W,119,108
2/28/17,WSH,L 108-112,34,9,20,2,9,5,6,7,4,0,2,3,5,25,REGULAR SEASON STATS,L,108,112
3/2/17,CHI,L 87-94,35,10,27,2,11,1,1,6,5,0,5,4,4,23,REGULAR SEASON STATS,L,87,94
3/5/17,NY,W 112-105,37,11,24,5,13,4,6,8,6,0,2,2,2,31,REGULAR SEASON STATS,W,112,105
3/6/17,ATL,W 119-111,35,8,20,6,15,2,3,4,9,0,0,4,2,24,REGULAR SEASON STATS,W,119,111
3/8/17,BOS,L 86-99,35,8,16,2,9,5,5,5,6,1,0,4,4,23,REGULAR SEASON STATS,L,86,99
3/10/17,MIN,L 102-103,35,10,27,1,8,5,5,6,7,0,1,4,6,26,REGULAR SEASON STATS,L,102,103
3/11/17,SA,L 85-107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,L,85,107
3/14/17,PHI,W 106-104,37,8,23,5,13,8,8,6,5,0,3,3,5,29,REGULAR SEASON STATS,W,106,104
3/16/17,ORL,W 122-92,28,8,15,2,7,7,7,1,9,0,3,1,2,25,REGULAR SEASON STATS,W,122,92
3/18/17,MIL,W 117-92,30,9,13,6,8,4,4,4,4,1,1,3,3,28,REGULAR SEASON STATS,W,117,92
3/20/17,OKC,W 111-95,30,8,17,7,12,0,0,4,6,0,0,3,5,23,REGULAR SEASON STATS,W,111,95
3/21/17,DAL,W 112-87,30,7,14,3,9,0,0,5,9,0,2,1,0,17,REGULAR SEASON STATS,W,112,87
3/24/17,SAC,W 114-100,33,9,18,5,11,4,4,7,12,0,6,0,3,27,REGULAR SEASON STATS,W,114,100
3/26/17,MEM,W 106-94,36,8,18,5,12,0,0,1,11,0,4,1,5,21,REGULAR SEASON STATS,W,106,94
3/28/17,HOU,W 113-106,33,11,22,3,11,7,10,10,7,0,2,5,6,32,REGULAR SEASON STATS,W,113,106
3/29/17,SA,W 110-98,35,9,20,4,8,7,7,4,11,0,1,5,2,29,REGULAR SEASON STATS,W,110,98
3/31/17,HOU,W 107-98,35,8,18,4,9,4,5,7,5,0,2,4,2,24,REGULAR SEASON STATS,W,107,98
4/2/17,WSH,W 139-115,36,15,22,9,14,3,3,1,8,0,1,3,1,42,REGULAR SEASON STATS,W,139,115
4/4/17,MIN,W 121-107,30,7,18,3,8,2,4,3,9,2,3,2,3,19,REGULAR SEASON STATS,W,121,107
4/5/17,PHX,W 120-111,35,15,25,8,12,4,7,4,11,2,2,0,3,42,REGULAR SEASON STATS,W,120,111
4/8/17,NO,W 123-101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REGULAR SEASON STATS,W,123,101
4/10/17,UTAH,L 99-105,30,9,16,6,8,4,5,4,4,0,1,1,1,28,REGULAR SEASON STATS,L,99,105
4/12/17,LAL,W 109-94,28,6,17,5,14,3,4,5,8,0,2,1,5,20,REGULAR SEASON STATS,W,109,94
4/16/17,POR,W 121-109,36,9,19,3,8,8,8,5,4,1,1,5,5,29,Conference Quarterfinals,W,121,109
4/19/17,POR,W 110-81,31,6,18,4,12,3,5,5,6,1,4,1,4,19,Conference Quarterfinals,W,110,81
4/22/17,POR,W 119-113,39,10,25,5,14,9,10,4,8,1,2,1,1,34,Conference Quarterfinals,W,119,113
4/24/17,POR,W 128-103,30,12,20,7,11,6,7,7,8,0,1,0,4,37,Conference Quarterfinals,W,128,103
5/2/17,UTAH,W 106-94,30,7,11,1,4,7,7,7,5,0,1,1,4,22,Conference Semifinals,W,106,94
5/4/17,UTAH,W 115-104,38,8,15,5,8,2,2,4,6,0,2,3,3,23,Conference Semifinals,W,115,104
5/6/17,UTAH,W 102-91,37,6,20,3,11,8,9,5,4,0,0,2,0,23,Conference Semifinals,W,102,91
5/8/17,UTAH,W 121-95,35,9,15,4,10,8,8,5,7,1,0,2,2,30,Conference Semifinals,W,121,95
5/14/17,SA,W 113-111,39,14,26,7,16,5,7,7,3,0,3,0,3,40,Conference Finals,W,113,111
5/16/17,SA,W 136-100,31,8,13,6,9,7,7,7,7,0,3,3,2,29,Conference Finals,W,136,100
5/20/17,SA,W 120-108,34,8,15,3,7,2,2,5,3,0,6,3,5,21,Conference Finals,W,120,108
5/22/17,SA,W 129-115,34,14,24,5,13,3,3,5,6,0,0,2,6,36,Conference Finals,W,129,115
6/1/17,CLE,W 113-91,34,11,22,6,11,0,0,6,10,0,3,3,2,28,NBA Finals,W,113,91
6/4/17,CLE,W 132-113,36,7,17,4,11,14,14,10,11,0,1,3,8,32,NBA Finals,W,132,113
6/7/17,CLE,W 118-113,39,8,19,5,9,5,5,13,6,0,2,3,1,26,NBA Finals,W,118,113
6/9/17,CLE,L 116-137,38,4,13,2,9,4,5,5,10,0,2,2,4,14,NBA Finals,L,116,137
6/12/17,CLE,W 129-120,41,10,20,2,9,12,15,6,10,0,3,3,4,34,NBA Finals,W,129,120